,Unnamed: 0,Name,Distance,Mass,Radius,Star_name,Gravity
0,0,Sun,0.000015813,1.0,1.0,54 Piscium,274.10478078144416
1,1,Sirius,8.6,1.7,2.1,81 Cancri,105.66397445089683
2,2,Canopus,310,71.0,15.0,AB Pictoris,86.49528637992238
3,3,Alpha Centauri,4.4,1.2,1.1,CDâˆ’33Â°7795,271.8394520146553
4,4,Arcturus,37,26.0,1.1,CT Chamaeleontis,5889.854793650865
5,5,Vega,25,2.7,2.2,Eta Coronae Borealis,152.90969175824364
6,6,Capella,43,12.0,2.6,G 196-3,486.57653393155766
7,7,Rigel,860,78.9,23.0,GD 165,40.882546698782505
8,8,Procyon,11.4,1.9,1.5,Gliese 570,231.46625932655286
9,9,Betelgeuse,0640[1],950.0,20.0,GU Piscium,650.9988543559298
10,10,Achernar,144,9.3,6.7,HD 89744,56.787134356592354
11,11,Hadar,390,8.6,10.5,HD 100546,21.38141600653442
12,12,Altair,17,1.8,1.8,HN Pegasi,152.280433767469
13,13,Acrux,320,8.9,18.0,LHS 4040Â [es],7.529421447391522
14,14,Aldebaran,65,44.0,1.5,UScoCTIO 108,5360.271268614908
15,15,Antares,600,680.0,12.0,WD 0137-349,1294.3836870234863
16,16,Spica,260,7.47,11.43,HD 41004 B,15.672733588815083
17,17,Pollux,34,8.8,1.9,HD 149382,668.1778589686173
18,18,Fomalhaut,25,1.8,1.9,COROT-15,136.67274387994448
19,19,Deneb,"2,600",203.0,19.0,Xi Ursae Majoris B,154.13648337571513
20,20,Mimosa,350,8.4,16.0,Upsilon Andromedae,8.994063119391138
21,21,Regulus,77,3.1,3.8,Gliese 758,58.84520917053164
22,22,Adhara,430,14.0,12.5,HD 112758,24.5597883580174
23,23,Shaula,700,8.8,14.5,BDâˆ’04Â°782,11.47263767361098
24,24,Castor,52,2.4,2.8,HD 110833,83.90962676982987
25,25,Gacrux,88,84.0,1.5,HD 89707,10233.245149173916
26,26,Bellatrix,240,5.8,8.6,Tau Geminorum,21.495507416608653
27,27,Elnath,130,4.2,5.0,HAT-P-13,46.04960317128263
28,28,Miaplacidus,110,6.8,3.5,HD 217580,152.15612320929145
29,29,Alnilam,"2,000",42.0,32.0,HD 16760,11.24257889923892
30,30,Gamma Velorum,"1,100",6.0,9.0,HD 13189,20.30405783566253
31,31,Alnair,101,3.4,4.0,HD 18445,58.24726591605688
32,32,Alioth,81,4.2,2.9,HD 8673,136.88942678740375
33,33,Alnitak,1050,20.0,33.0,NGC 4349-127,5.034063926197321
34,34,Dubhe,120,30.0,4.25,Gliese 569,455.2605355539557
35,35,Mirfak,590,68.0,8.5,HD 29587,257.9809701472415
36,36,Wezen,"1,600",200.0,17.0,ChaHÎ±8,189.69188981414823
37,37,Sargas,270,26.0,5.7,COROT-20,219.35131733818247
38,38,Kaus Australis,140,6.8,3.5,HD 168443,152.15612320929145
39,39,Avior,630,130.0,9.0,HD 38529 A,439.9212531060215
40,40,Alkaid,104,3.4,6.1,Epsilon Indi,25.0458547341282
41,41,Menkalinan,81,2.77,2.39,HW Virginis,132.92313558316562
42,42,Atria,390,92.0,7.0,DT Virginis,514.6457108549564
43,43,Alhena,109,3.3,2.8,HD 4113,115.37573680851605
44,44,Peacock,180,4.8,5.9,Gliese 229,37.79669485064441
45,45,Alsephina[2],80,2.9,2.4,TYC 9486-927-1,138.00414310176876
46,46,Mirzam,500,10.0,13.5,Epsilon Indi,15.040042841231504
47,47,Polaris,430,39.0,5.4,HD 131664,366.60104425501777
48,48,Alphard,180,50.0,3.0,HD 136118,1522.8043376746898
49,49,Mintaka,1200,16.5,24.0,HD 140913,7.85195986613512
50,50,Scheat,196,95.0,2.1,GQ Lupi,5904.751513432471
51,51,Almaaz,653,140.0,15.0,HD 162020,170.55408581956527
52,52,Rasalgethi,360,280.0,2.8,Nu Ophiuchi,9789.456456480151
53,53,Tau Ceti,11.9,0.893,0.783,HD 164427,399.2496509280539
54,54,Delta Pavonis,19.92,1.22,0.991,SCR 1845-6357,340.5094208658571
55,55,Ran,10.48,0.74,0.82,COROT-3,301.6620133525709
56,56,V382 Carinae,"8,900",485.0,20.0,15 Sagittae,332.352046697501
57,57,Eta Carinae,"7,500",881.0,100.0,Zeta Delphini,24.14863118684523
58,58,Delta Cephei,887,44.5,4.5,HD 202206,602.3537157913219
59,59,Mu Cephei,"6,000",972.0,19.2,0,722.7372149510735
60,60,Titawin,44.25,1.48,1.27,0,251.5190498831529
61,61,Rho Cassiopeiae,"8,154",881.0,22.0,0,498.93866088523197
62,62,P Cygni,"5,545",76.0,30.0,0,23.146625932655283
63,63,La Superba,"1,000",129.0,1.0,0,35359.5167208063
64,64,VV Cephei,"4,900",516.0,18.2,0,426.99573385830575
65,65,61 Cygni,11.41,0.665,0.7,0,371.99934534624583
66,66,R Doradus,178,298.0,1.0,0,81683.22467287036
67,67,Polaris Australis,281,3.74,1.59,0,405.50289945912004
68,68,R Coronae Borealis,"4,566",85.0,0.85,0,32247.621268405193
69,69,54 Piscium,36.1,0.94,0.76,0,446.0846501637076
70,70,Mira,300,370.0,1.2,0,70429.7006174544
71,71,RW Cephei,"14,000",1.0,158.0,0,0.010980002434763826
72,72,Lacaille 8760,12.87,0.51,0.6,0,388.3151061070459
73,73,V838 Monocerotis,"19,896",750.0,45.0,0,101.52028917831265
74,74,HD 140283,190,1.4,3.2,0,37.47526299746307
75,75,II Pegasi,130,3.4,0.8,0,1456.181647901422
76,76,VY Canis Majoris,"3,900",1.0,420.0,0,0.001553881977219071
77,77,Pistol Star,"25,000",320.0,100.0,0,8.771352985006214
78,78,S Doradus,"1,69,000",380.0,24.0,0,180.83301509886942
79,79,UY Scuti,"5,100",755.0,10.0,0,2069.491094899903
80,80,Barnard's Star,5.98,0.2,0.14,0,2796.9875589943276
81,81,Luhman 16,6.52,82.0,0.04,0,14047870.015049012
82,82,Proxima Centauri,4.25,0.15,0.12,0,2855.2581331400434
83,83,KIC 8462852,"1,470",1.58,1.43,0,211.788133226408
84,84,R136a1,"1,63,000",32.0,290.0,0,0.10429670612373619
85,85,Melnick 42,"1,63,000",21.1,189.0,0,0.1619106652806045
86,86,WR 102,"18,134",0.39,19.0,0,0.2961242784065463
87,87,VFTS 352,"1,64,000",14.47,57.48,0,1.2004708599461715
88,88,YBP 1194,"2,772",0.99,1.01,0,266.0167953863638
89,89,Gliese 1214,47.5,0.21,0.16,0,2248.515779847784
90,90,NML Cygni,"5,251",1640.0,50.0,0,179.81273619262737
91,91,VB 10,18.72,0.1,0.075,0,4872.973880559008
92,92,WOH G64,"1,63,000",1600.0,20.0,0,1096.4191231257767
